item_id,abc_class,xyz_class,abc_xyz,avg_daily_demand,safety_stock_95,reorder_point_lt_med,procurement_risk_tier,stockout_risk_score,target_coverage_days,current_inventory,reserved_inventory,available_inventory,days_of_cover,inventory_value,inventory_health,inventory_status
HOUSEHOLD_1_068,A,Y,AY,1.6767123287671233,7.321,19.058,MEDIUM,0.3202,25,51,7,44,26.2,306.68,92.4,Healthy
FOODS_1_055,A,Z,AZ,2.782191780821918,20.169,39.644,HIGH,0.5818,20,58,7,51,18.3,212.62,70.9,Monitor
FOODS_1_218,A,X,AX,11.717808219178082,35.485,117.51,LOW,0.0038,30,336,35,301,25.7,294.98,91.4,Healthy
HOUSEHOLD_1_040,A,X,AX,2.372602739726027,7.965,24.573,LOW,0.1099,30,28,2,26,11.0,123.34,50.2,Monitor
HOUSEHOLD_1_473,A,X,AX,5.093150684931507,10.913,46.565,LOW,0.0115,30,50,5,45,8.8,97.93,43.4,Low Stock
FOODS_1_110,A,Y,AY,5.7095890410958905,23.277,63.244,LOW,0.1591,25,149,13,136,23.8,263.74,87.6,Healthy
FOODS_2_233,A,X,AX,2.46027397260274,8.4,25.622,LOW,0.1139,30,47,4,43,17.5,192.64,75.0,Monitor
HOUSEHOLD_1_038,A,X,AX,2.102739726027397,7.031,21.75,LOW,0.1242,30,73,9,64,30.4,334.08,100.0,Healthy
FOODS_2_184,A,X,AX,2.1931506849315068,7.772,23.124,LOW,0.1327,30,67,7,60,27.4,297.01,94.8,Healthy
FOODS_1_099,A,X,AX,11.02191780821918,31.744,108.897,LOW,0.0091,30,193,11,182,16.5,178.36,73.0,Monitor
FOODS_2_241,A,Y,AY,4.517808219178082,23.326,54.951,MEDIUM,0.5233,25,126,9,117,25.9,278.46,91.8,Healthy
FOODS_2_173,A,Y,AY,1.1876712328767125,5.522,13.836,MEDIUM,0.401,25,29,3,26,21.9,233.48,83.8,Healthy
FOODS_2_299,A,X,AX,5.184931506849315,16.588,52.883,LOW,0.0886,30,114,7,107,20.6,219.73,81.2,Healthy
HOUSEHOLD_1_249,A,Y,AY,1.295890410958904,5.645,14.716,MEDIUM,0.34,25,31,4,27,20.8,215.19,81.6,Healthy
HOUSEHOLD_1_539,A,X,AX,2.6,8.409,26.609,LOW,0.1089,30,43,4,39,15.0,154.83,69.1,Monitor
HOUSEHOLD_1_169,A,X,AX,3.495890410958904,10.94,35.411,LOW,0.068,30,36,4,32,9.2,94.27,42.5,Low Stock
FOODS_1_085,A,X,AX,10.454794520547946,27.197,100.381,LOW,0.0041,30,298,33,265,25.3,259.7,90.6,Healthy
HOUSEHOLD_1_292,A,Y,AY,1.5698630136986302,6.982,17.971,MEDIUM,0.3276,25,36,5,31,19.7,200.88,79.4,Monitor
HOUSEHOLD_1_294,A,X,AX,4.997260273972603,13.731,48.712,LOW,0.0424,30,172,15,157,31.4,316.19,100.0,Healthy
HOUSEHOLD_1_541,A,Y,AY,1.4301369863013698,7.071,17.082,MEDIUM,0.428,25,26,3,23,16.1,160.89,68.1,Monitor
FOODS_2_078,A,Z,AZ,1.0,5.617,12.617,HIGH,0.6365,20,24,3,21,21.0,208.79,82.0,Healthy
HOUSEHOLD_1_050,A,X,AX,2.650684931506849,8.914,27.469,LOW,0.1249,30,20,2,18,6.8,67.44,31.1,Low Stock
HOUSEHOLD_1_086,A,Y,AY,1.9616438356164383,9.277,23.009,MEDIUM,0.3379,25,47,6,41,20.9,205.57,81.8,Healthy
HOUSEHOLD_1_051,A,X,AX,3.2643835616438355,10.165,33.016,LOW,0.0755,30,58,8,50,15.3,148.0,70.6,Monitor
HOUSEHOLD_1_130,A,Y,AY,1.5,6.869,17.369,MEDIUM,0.3762,25,36,4,32,21.3,205.59,82.6,Healthy
FOODS_2_112,A,Y,AY,2.875342465753425,12.095,32.222,LOW,0.2145,25,86,12,74,25.7,248.0,91.4,Healthy
FOODS_2_346,A,Y,AY,4.079452054794521,19.641,48.197,MEDIUM,0.4167,25,116,16,100,24.5,234.45,89.0,Healthy
FOODS_2_380,A,X,AX,1.887671232876712,7.151,20.365,LOW,0.18,30,36,4,32,17.0,159.04,74.0,Monitor
FOODS_1_183,A,X,AX,3.1246575342465754,10.088,31.961,LOW,0.0915,30,86,11,75,24.0,223.5,88.0,Healthy
HOUSEHOLD_1_418,A,X,AX,9.476712328767125,27.181,93.518,LOW,0.0262,30,187,22,165,17.4,161.2,74.8,Monitor
HOUSEHOLD_1_079,A,X,AX,1.908219178082192,6.216,19.574,LOW,0.1282,30,40,5,35,18.3,169.66,76.6,Monitor
FOODS_1_086,A,X,AX,5.156164383561644,18.967,55.06,MEDIUM,0.2119,30,175,20,155,30.1,276.59,100.0,Healthy
HOUSEHOLD_1_334,A,X,AX,9.4013698630137,28.758,94.568,LOW,0.0356,30,173,22,151,16.1,147.53,72.2,Monitor
FOODS_1_217,A,Y,AY,2.6095890410958904,12.88,31.147,LOW,0.3604,25,80,5,75,28.7,263.26,97.4,Healthy
FOODS_1_173,A,Y,AY,4.583561643835616,21.374,53.459,LOW,0.226,25,124,17,107,23.3,213.6,86.6,Healthy
FOODS_2_036,A,Y,AY,2.521917808219178,11.456,29.109,MEDIUM,0.3231,25,35,5,30,11.9,108.01,51.3,Monitor
HOUSEHOLD_1_387,A,X,AX,3.06027397260274,9.989,31.411,LOW,0.1007,30,103,5,98,32.0,289.85,100.0,Healthy
FOODS_1_161,A,X,AX,9.157534246575343,28.162,92.265,LOW,0.0136,30,311,41,270,29.5,264.6,99.0,Healthy
FOODS_2_359,A,X,AX,4.36027397260274,13.709,44.231,LOW,0.0653,30,140,9,131,30.0,269.02,100.0,Healthy
FOODS_2_074,A,Y,AY,3.515068493150685,14.043,38.648,LOW,0.1547,25,103,9,94,26.7,239.35,93.4,Healthy
FOODS_2_274,A,Y,AY,1.2684931506849315,6.175,15.054,MEDIUM,0.4413,25,35,4,31,24.4,218.13,88.8,Healthy
FOODS_1_162,A,X,AX,4.619178082191781,16.619,48.953,LOW,0.0781,30,148,10,138,29.9,266.43,99.8,Healthy
FOODS_2_150,A,X,AX,2.9904109589041097,11.69,32.623,LOW,0.2104,30,93,12,81,27.1,239.76,94.2,Healthy
HOUSEHOLD_1_197,A,X,AX,1.7616438356164383,6.261,18.593,LOW,0.1801,30,48,6,42,23.8,208.74,87.6,Healthy
HOUSEHOLD_1_328,A,X,AX,1.836986301369863,7.174,20.033,LOW,0.1954,30,52,5,47,25.6,222.96,91.2,Healthy
HOUSEHOLD_1_361,A,X,AX,4.626027397260274,17.986,50.368,LOW,0.2093,30,22,1,21,4.5,39.48,20.1,Low Stock
FOODS_1_023,A,Z,AZ,1.5616438356164384,9.787,20.719,HIGH,0.7535,20,38,3,35,22.4,193.1,84.8,Healthy
FOODS_1_018,A,X,AX,8.772602739726027,24.655,86.063,LOW,0.008,30,158,18,140,16.0,137.2,72.0,Monitor
HOUSEHOLD_1_437,A,Y,AY,2.746575342465753,12.247,31.473,MEDIUM,0.3607,25,75,11,64,23.3,197.69,86.6,Healthy
HOUSEHOLD_1_118,A,X,AX,8.745205479452055,27.152,88.368,LOW,0.0381,30,310,35,275,31.4,266.75,100.0,Healthy
FOODS_2_054,A,X,AX,2.9068493150684933,11.358,31.706,LOW,0.1808,30,86,7,79,27.2,229.45,94.4,Healthy
HOUSEHOLD_1_376,A,Y,AY,1.5452054794520549,6.182,16.998,MEDIUM,0.277,25,11,1,10,6.5,53.34,28.7,Low Stock
HOUSEHOLD_1_370,A,Y,AY,1.1273972602739726,5.578,13.47,MEDIUM,0.4547,25,33,3,30,26.6,216.1,93.2,Healthy
FOODS_1_194,A,Y,AY,1.6767123287671233,7.953,19.69,MEDIUM,0.3643,25,42,5,37,22.1,179.05,84.2,Healthy
HOUSEHOLD_1_408,A,Y,AY,1.443835616438356,6.571,16.678,MEDIUM,0.3782,25,34,2,32,22.2,175.36,84.4,Healthy
HOUSEHOLD_1_517,A,X,AX,8.178082191780822,19.946,77.193,LOW,0.0223,30,239,30,209,25.6,201.96,91.2,Healthy
FOODS_1_200,A,X,AX,8.016438356164384,29.406,85.521,LOW,0.0289,30,229,24,205,25.6,200.9,91.2,Healthy
HOUSEHOLD_1_014,A,Z,AZ,0.4356164383561643,3.307,6.356,HIGH,1.1995,20,12,2,10,23.0,179.7,86.0,Healthy
FOODS_1_104,A,Y,AY,2.197260273972603,10.925,26.306,LOW,0.3412,25,66,6,60,27.3,210.6,94.6,Healthy
HOUSEHOLD_1_318,A,X,AX,2.5972602739726027,9.945,28.126,LOW,0.1615,30,86,10,76,29.3,225.44,98.6,Healthy
HOUSEHOLD_1_498,A,X,AX,2.347945205479452,7.861,24.297,LOW,0.1128,30,83,12,71,30.2,232.88,100.0,Healthy
HOUSEHOLD_1_119,A,X,AX,2.147945205479452,8.006,23.042,LOW,0.1971,30,75,5,70,32.6,250.66,100.0,Healthy
HOUSEHOLD_1_204,A,Y,AY,4.065753424657534,17.29,45.75,LOW,0.1098,25,100,14,86,21.2,161.68,82.4,Healthy
FOODS_2_304,A,Y,AY,1.9191780821917808,8.061,21.495,LOW,0.2908,25,58,7,51,26.6,202.47,93.2,Healthy
HOUSEHOLD_1_465,A,X,AX,7.771232876712329,28.036,82.435,LOW,0.042,30,42,2,40,5.1,39.08,23.1,Low Stock
FOODS_1_152,A,Z,AZ,0.915068493150685,5.167,11.572,HIGH,0.6291,20,11,1,10,10.9,82.95,44.8,Low Stock
HOUSEHOLD_1_055,A,X,AX,1.908219178082192,6.923,20.281,LOW,0.1838,30,68,8,60,31.4,237.71,100.0,Healthy
HOUSEHOLD_1_214,A,X,AX,3.994520547945205,11.368,39.33,LOW,0.0528,30,119,7,112,28.0,209.44,96.0,Healthy
HOUSEHOLD_1_291,A,Y,AY,1.96027397260274,8.012,21.734,LOW,0.2058,25,47,5,42,21.4,156.77,82.8,Healthy
HOUSEHOLD_1_071,A,X,AX,3.3534246575342466,9.002,32.476,LOW,0.0456,30,18,2,16,4.8,34.82,22.7,Low Stock
FOODS_2_307,A,Y,AY,2.8493150684931505,12.32,32.265,LOW,0.2259,25,76,9,67,23.5,170.6,87.0,Healthy
HOUSEHOLD_1_048,A,X,AX,2.552054794520548,9.021,26.885,LOW,0.1402,30,89,5,84,32.9,238.56,100.0,Healthy
FOODS_2_014,A,X,AX,2.419178082191781,9.439,26.373,LOW,0.1621,30,86,12,74,30.6,219.04,100.0,Healthy
FOODS_2_013,A,X,AX,3.5671232876712327,10.846,35.816,LOW,0.067,30,96,14,82,23.0,164.0,86.0,Healthy
HOUSEHOLD_1_369,A,X,AX,1.904109589041096,7.416,20.745,LOW,0.2059,30,61,9,52,27.3,194.1,94.6,Healthy
HOUSEHOLD_1_282,A,X,AX,1.7767123287671234,6.127,18.564,LOW,0.1661,30,55,7,48,27.0,191.04,94.0,Healthy
FOODS_1_080,A,Z,AZ,0.9205479452054794,4.984,11.428,HIGH,0.5896,20,19,1,18,19.6,136.44,79.2,Monitor
FOODS_2_164,A,X,AX,2.223287671232877,8.6,24.163,LOW,0.1887,30,63,8,55,24.7,171.84,89.4,Healthy
HOUSEHOLD_1_510,A,X,AX,1.3876712328767122,5.522,15.236,MEDIUM,0.2618,30,21,1,20,14.4,98.85,63.8,Monitor
HOUSEHOLD_1_447,A,X,AX,7.010958904109589,18.57,67.647,LOW,0.025,30,249,13,236,33.7,230.57,100.0,Healthy
FOODS_2_360,A,Y,AY,7.280821917808219,36.554,87.52,MEDIUM,0.4946,25,94,8,86,11.8,80.41,49.8,Low Stock
HOUSEHOLD_1_180,A,X,AX,2.293150684931507,8.269,24.321,LOW,0.1441,30,73,7,66,28.8,195.78,97.6,Healthy
HOUSEHOLD_1_453,A,X,AX,3.117808219178082,8.623,30.448,LOW,0.0488,30,104,13,91,29.2,198.04,98.4,Healthy
FOODS_2_325,A,X,AX,5.443835616438356,17.309,55.416,LOW,0.057,30,81,10,71,13.0,88.45,60.2,Monitor
FOODS_2_315,A,Z,AZ,2.712328767123288,14.081,33.067,HIGH,0.4968,20,70,7,63,23.2,157.5,86.4,Healthy
HOUSEHOLD_1_090,A,X,AX,2.289041095890411,8.125,24.148,LOW,0.1508,30,83,6,77,33.6,227.92,100.0,Healthy
FOODS_2_139,A,Y,AY,2.258904109589041,9.935,25.747,MEDIUM,0.2879,25,57,9,48,21.2,143.04,82.4,Healthy
HOUSEHOLD_1_434,A,Y,AY,1.6931506849315068,7.166,19.018,MEDIUM,0.2704,25,46,4,42,24.8,166.74,89.6,Healthy
HOUSEHOLD_1_518,A,Y,AY,0.952054794520548,4.863,11.527,MEDIUM,0.5161,25,25,2,23,24.2,160.31,88.4,Healthy
FOODS_1_021,A,Z,AZ,6.617808219178082,35.515,81.84,HIGH,0.2247,20,140,9,131,19.8,128.38,79.6,Monitor
FOODS_1_172,A,X,AX,3.272602739726028,9.884,32.792,LOW,0.058,30,89,12,77,23.5,151.12,87.0,Healthy
FOODS_1_046,A,X,AX,6.435616438356164,19.414,64.463,LOW,0.0199,30,209,25,184,28.6,180.32,97.2,Healthy
HOUSEHOLD_1_093,A,Y,AY,1.5890410958904109,6.911,18.034,MEDIUM,0.2943,25,43,3,40,25.2,157.71,90.4,Healthy
HOUSEHOLD_1_246,A,Z,AZ,1.5671232876712329,8.76,19.73,HIGH,0.6404,20,31,2,29,18.5,115.42,76.2,Monitor
FOODS_1_103,A,Y,AY,1.4602739726027398,6.141,16.363,MEDIUM,0.2872,25,12,1,11,7.5,46.52,32.9,Low Stock
HOUSEHOLD_1_345,A,Y,AY,1.4904109589041097,7.197,17.63,MEDIUM,0.3724,25,46,5,41,27.5,169.81,95.0,Healthy
HOUSEHOLD_1_399,B,X,BX,6.165753424657535,18.346,61.506,LOW,0.0946,25,37,3,34,5.5,34.02,25.7,Low Stock
FOODS_1_058,B,Y,BY,3.116438356164384,14.623,36.438,MEDIUM,0.2924,20,62,9,53,17.0,102.78,72.8,Monitor
FOODS_1_067,B,Y,BY,3.016438356164384,15.456,36.571,MEDIUM,0.3177,20,68,4,64,21.2,127.76,82.4,Healthy
FOODS_2_016,B,Y,BY,4.817808219178082,21.628,55.353,LOW,0.2303,20,123,11,112,23.2,139.53,86.4,Healthy
HOUSEHOLD_1_087,B,Y,BY,1.332876712328767,5.795,15.125,MEDIUM,0.3161,20,14,2,12,9.0,53.64,39.2,Low Stock
HOUSEHOLD_1_386,B,X,BX,2.0054794520547947,6.495,20.533,LOW,0.1142,25,56,5,51,25.4,150.96,90.8,Healthy
HOUSEHOLD_1_538,B,X,BX,1.6986301369863013,6.116,18.006,LOW,0.1621,25,32,4,28,16.5,97.44,73.0,Monitor
FOODS_2_255,B,Z,BZ,2.2013698630136984,27.712,43.122,MEDIUM,1.2719,15,18,2,16,7.3,42.88,24.5,Critical
HOUSEHOLD_1_045,B,Y,BY,2.2794520547945205,9.55,25.506,LOW,0.2281,20,54,4,50,21.9,129.15,83.8,Healthy
HOUSEHOLD_1_129,B,X,BX,1.478082191780822,5.415,15.762,LOW,0.1926,25,38,6,32,21.6,126.92,83.2,Healthy
FOODS_2_388,B,Y,BY,1.9328767123287671,9.691,23.221,MEDIUM,0.4182,20,45,4,41,21.2,122.18,82.4,Healthy
FOODS_2_153,B,Y,BY,1.9397260273972603,9.269,22.847,MEDIUM,0.3775,20,45,6,39,20.1,115.44,80.2,Healthy
HOUSEHOLD_1_416,B,Y,BY,1.4958904109589042,7.205,17.676,MEDIUM,0.3729,20,34,2,32,21.4,122.61,82.8,Healthy
HOUSEHOLD_1_235,B,Y,BY,1.491780821917808,7.442,17.884,MEDIUM,0.4177,20,29,2,27,18.1,103.51,76.2,Monitor
FOODS_2_396,B,X,BX,1.910958904109589,7.419,20.796,MEDIUM,0.2175,25,57,3,54,28.3,160.92,96.6,Healthy
HOUSEHOLD_1_016,B,Z,BZ,1.1657534246575345,6.84,15.0,MEDIUM,0.663,15,20,2,18,15.4,87.84,62.8,Monitor
HOUSEHOLD_1_321,B,Y,BY,1.9027397260273973,8.006,21.325,MEDIUM,0.249,20,38,3,35,18.4,103.95,76.8,Monitor
HOUSEHOLD_1_459,B,X,BX,5.776712328767124,21.071,61.508,LOW,0.0861,25,42,6,36,6.2,35.17,28.0,Low Stock
FOODS_2_175,B,Y,BY,2.2753424657534245,10.409,26.336,MEDIUM,0.3254,20,52,5,47,20.7,116.56,81.4,Healthy
FOODS_2_047,B,X,BX,1.9027397260273973,7.272,20.591,LOW,0.2021,25,33,5,28,14.7,82.88,65.7,Monitor
HOUSEHOLD_1_082,B,Y,BY,1.6178082191780825,6.959,18.284,MEDIUM,0.3019,20,31,2,29,17.9,100.92,75.8,Monitor
FOODS_1_050,B,Z,BZ,0.9397260273972604,5.461,12.039,MEDIUM,0.6658,15,8,1,7,7.4,41.86,30.3,Low Stock
FOODS_1_088,B,Z,BZ,1.0712328767123287,13.891,21.39,MEDIUM,1.6693,15,21,3,18,16.8,93.83,56.0,Low Stock
HOUSEHOLD_1_427,B,Z,BZ,0.9328767123287672,6.345,12.875,MEDIUM,0.9356,15,3,0,3,3.2,17.88,12.6,Critical
HOUSEHOLD_1_058,B,Z,BZ,0.8575342465753425,4.852,10.855,MEDIUM,0.6571,15,14,2,12,14.0,77.76,57.5,Monitor
HOUSEHOLD_1_411,B,X,BX,1.6753424657534246,6.618,18.345,LOW,0.2201,25,23,3,20,11.9,65.6,52.9,Monitor
HOUSEHOLD_1_285,B,X,BX,2.006849315068493,7.324,21.372,LOW,0.1757,25,52,6,46,22.9,125.6,85.8,Healthy
HOUSEHOLD_1_236,B,X,BX,2.210958904109589,8.373,23.85,LOW,0.1836,25,67,4,63,28.5,155.71,97.0,Healthy
HOUSEHOLD_1_351,B,X,BX,5.563013698630137,16.874,55.815,LOW,0.0458,25,85,5,80,14.4,78.16,67.0,Monitor
HOUSEHOLD_1_506,B,Y,BY,1.4136986301369865,6.537,16.433,MEDIUM,0.3755,20,30,4,26,18.4,99.62,76.8,Monitor
HOUSEHOLD_1_243,B,X,BX,2.738356164383561,7.991,27.159,LOW,0.0661,25,64,7,57,20.8,112.29,81.6,Healthy
HOUSEHOLD_1_188,B,Y,BY,1.3534246575342466,5.596,15.07,MEDIUM,0.2759,20,34,4,30,22.2,119.4,84.4,Healthy
FOODS_2_374,B,X,BX,2.6835616438356165,9.481,28.266,LOW,0.129,25,80,8,72,26.8,144.0,93.6,Healthy
HOUSEHOLD_1_383,B,Y,BY,1.53013698630137,6.184,16.895,MEDIUM,0.2417,20,31,2,29,19.0,100.92,78.0,Monitor
FOODS_1_219,B,Y,BY,2.361643835616438,11.082,27.614,MEDIUM,0.4313,20,55,3,52,22.0,116.48,84.0,Healthy
HOUSEHOLD_1_203,B,Y,BY,1.0698630136986302,5.404,12.893,MEDIUM,0.504,20,26,3,23,21.5,113.67,83.0,Healthy
HOUSEHOLD_1_254,B,Y,BY,5.410958904109589,22.301,60.178,LOW,0.1245,20,83,8,75,13.9,72.97,61.0,Monitor
FOODS_2_212,B,Z,BZ,1.0904109589041096,6.52,14.153,MEDIUM,0.7358,15,20,1,19,17.4,90.6,70.6,Monitor
HOUSEHOLD_1_151,B,X,BX,5.623287671232877,17.262,56.625,LOW,0.0454,25,138,14,124,22.1,114.47,84.2,Healthy
FOODS_2_119,B,Y,BY,1.9301369863013695,8.2,21.711,MEDIUM,0.2688,20,37,2,35,18.1,94.12,76.2,Monitor
FOODS_2_204,B,X,BX,5.18082191780822,20.52,56.786,LOW,0.1571,25,156,17,139,26.8,139.0,93.6,Healthy
HOUSEHOLD_1_153,B,X,BX,2.606849315068493,8.318,26.566,LOW,0.0874,25,78,6,72,27.6,141.84,95.2,Healthy
FOODS_1_154,B,Y,BY,3.4178082191780823,16.594,40.519,LOW,0.2644,20,54,7,47,13.8,70.39,58.5,Monitor
